user_id,transaction_date,month_key,amount,category,merchant,is_subscription,credit_score_impact_category,archetype,spending_velocity_7d,risk_score,is_fraud_flag
user_113,2024-07-10,2024-07,457.00137518676627,food_out,Hulu,True,positive,Strategic,1119.5819341443998,0.2900070214714375,0
user_105,2024-03-14,2024-03,283.2098460497533,subscriptions,HighEndClub,False,positive,Conservative,1985.6844481427786,0.2606275743791696,0
user_111,2024-03-03,2024-03,26.77214537783243,shopping_net,Nike,False,positive,Frugal,769.2154698521632,0.13098412964225406,0
user_109,2024-06-08,2024-06,53.077642095531395,subscriptions,Walmart,False,neutral,Conservative,1937.1893622462615,0.13419304636782295,0
test_subject,2024-03-16,2024-03,95.51055667515287,gas_transport,Walmart,False,neutral,Impulsive,1429.2607438099762,0.06547720892618918,0
user_109,2024-03-27,2024-03,39.24321773353715,grocery_pos,Nike,False,positive,Frugal,1626.6663601892326,0.25699541029172995,0
user_103,2024-08-15,2024-08,196.72871280188403,health_fitness,HighEndClub,False,negative,Strategic,895.3411289097502,0.1823873118265634,0
user_113,2024-08-06,2024-08,118.84629311809903,subscriptions,Spotify,False,negative,Frugal,1037.247055095123,0.1266401202370568,0
premium_user,2024-07-04,2024-07,273.0182832898235,subscriptions,Nike,False,neutral,Strategic,506.82273286443245,0.09292819380535107,0
user_112,2024-04-14,2024-04,437.0147396581153,shopping_net,Hulu,True,positive,Frugal,903.7031777109784,0.10087723889547393,0
user_110,2024-01-10,2024-01,478.13499222095294,grocery_pos,GasStation,False,positive,Strategic,1459.5617735866206,0.20178115477724,0
user_108,2024-01-05,2024-01,292.8724788647626,entertainment,Netflix,False,negative,Conservative,688.0299112088379,0.07347808842847593,0
user_110,2024-09-11,2024-09,79.33261096597741,entertainment,Hulu,False,positive,Frugal,1539.9568191735048,0.22817327270531765,0
user_105,2024-09-03,2024-09,164.42801694082897,gas_transport,Hulu,False,neutral,Frugal,214.32133535795052,0.0274202418165449,0
user_103,2024-03-25,2024-03,73.59651583095696,shopping_net,GasStation,False,positive,Conservative,383.1771654419616,0.2989290136716577,0
user_103,2024-06-17,2024-06,135.89055867852915,health_fitness,Walmart,False,neutral,Frugal,1469.5032307520312,0.10694206285954029,0
user_104,2024-01-16,2024-01,340.56825565315785,health_fitness,HighEndClub,False,neutral,Impulsive,1111.2532398789676,0.0855934768942985,0
user_112,2024-05-03,2024-05,61.12285600778124,shopping_net,Nike,False,neutral,Impulsive,998.0413990534948,0.13283373698873838,0
test_subject,2024-06-17,2024-06,233.84713594762573,shopping_net,SuperStore,False,positive,Conservative,536.936284291917,0.02251233231900621,0
user_101,2024-02-09,2024-02,375.8551860659432,entertainment,GasStation,False,positive,Conservative,1518.6011004559527,0.20690563354208175,0
premium_user,2024-01-08,2024-01,107.21827447253521,entertainment,GasStation,False,neutral,Frugal,1437.7131061861894,0.22717749854484393,0
user_106,2024-09-16,2024-09,216.92749691135023,grocery_pos,Nike,False,positive,Strategic,243.2682226495707,0.28397244406976424,0
user_106,2024-04-09,2024-04,419.3820904597258,gas_transport,Amazon,False,neutral,Conservative,1647.126408084336,0.2643317474501098,0
user_114,2024-01-12,2024-01,149.88248431093385,utilities,Netflix,False,neutral,Frugal,522.4123850039522,0.16310461768173867,0
user_112,2024-07-17,2024-07,326.19530404495174,health_fitness,Apple,False,positive,Frugal,1387.7907208170118,0.04649472217048665,0
premium_user,2024-05-27,2024-05,274.05923309762034,subscriptions,Amazon,True,positive,Frugal,1458.7331680826367,0.2557013147195669,0
user_114,2024-05-20,2024-05,384.2742662645084,entertainment,Walmart,True,positive,Impulsive,1911.746541775893,0.12505064934937987,0
premium_user,2024-04-03,2024-04,64.63755304830342,shopping_net,Spotify,False,neutral,Strategic,1663.4515509798966,0.26444493201875735,0
user_109,2024-07-20,2024-07,291.3322993043265,food_out,SuperStore,False,neutral,Frugal,884.6758346886049,0.08425687442230928,0
user_108,2024-03-20,2024-03,452.4848983554505,grocery_pos,Apple,False,neutral,Impulsive,1484.451046343102,0.27861197136448795,0
demo_user,2024-03-29,2024-03,453.4393938070427,utilities,Hulu,False,positive,Frugal,979.5998631890385,0.27036678127868313,0
premium_user,2024-05-14,2024-05,104.39749399672613,shopping_net,Walmart,False,neutral,Impulsive,1876.6050645804469,0.1760607773588008,0
user_103,2024-07-26,2024-07,429.6099171039062,grocery_pos,Nike,False,neutral,Conservative,1836.4794181632515,0.1950970041093363,0
user_106,2024-08-29,2024-08,360.5988594581165,entertainment,SuperStore,False,positive,Conservative,1323.6750907445141,0.03265571211664072,0
user_108,2024-07-22,2024-07,289.7536524583008,grocery_pos,Netflix,False,neutral,Impulsive,1054.5064918043727,0.08168231234340452,0
demo_user,2024-05-01,2024-05,111.33815704456181,shopping_net,Walmart,False,positive,Conservative,1270.4519292804907,0.26779807559149693,0
user_109,2024-03-30,2024-03,463.64074696894374,grocery_pos,HighEndClub,False,neutral,Strategic,522.784215301084,0.2496190693322477,0
user_104,2024-04-19,2024-04,207.4124651862149,utilities,Spotify,False,positive,Strategic,310.0988669497641,0.22473574099451094,0
user_110,2024-03-24,2024-03,449.2307222521784,utilities,Starbucks,False,neutral,Frugal,572.424895680269,0.24873785703574017,0
user_110,2024-04-10,2024-04,36.664090369527514,shopping_net,Starbucks,False,positive,Strategic,740.0241360723747,0.010945630592585742,0
user_103,2024-04-04,2024-04,12.045742863346977,grocery_pos,Nike,False,positive,Frugal,1248.1965789140233,0.27179377645589364,0
user_113,2024-09-01,2024-09,241.65664529310436,entertainment,Walmart,False,positive,Strategic,1426.3026059235665,0.172337465226944,0
user_110,2024-08-11,2024-08,441.82093671225647,health_fitness,Hulu,False,positive,Frugal,843.1961352425403,0.09882202442998306,0
test_subject,2024-09-10,2024-09,173.93043778067312,health_fitness,Netflix,False,positive,Frugal,865.113667146258,0.24208641088336677,0
user_106,2024-08-16,2024-08,212.85190228895326,utilities,HighEndClub,False,positive,Conservative,1280.7677301976084,0.27357690342070673,0
demo_user,2024-07-17,2024-07,28.056308150332367,utilities,Nike,False,neutral,Strategic,1258.9778226241708,0.2870622612650588,0
user_102,2024-08-29,2024-08,186.9972391440736,utilities,Walmart,False,neutral,Frugal,1984.4371922153962,0.26158898356828125,0
user_107,2024-06-14,2024-06,330.55587497882544,health_fitness,Spotify,False,neutral,Conservative,815.9907570534099,0.1749459772892824,0
user_113,2024-09-15,2024-09,46.225321418074174,health_fitness,GasStation,False,positive,Strategic,1715.295259614157,0.031940526423788536,0
user_114,2024-04-29,2024-04,326.46845228191637,entertainment,GasStation,False,positive,Frugal,760.6683589536464,0.2438729455693716,0
user_111,2024-05-27,2024-05,109.38866390582601,utilities,Walmart,True,neutral,Conservative,495.61434010990075,0.05461628361633477,0
user_106,2024-01-07,2024-01,269.44314778272377,subscriptions,GasStation,True,neutral,Strategic,371.5151404184022,0.02515003366840832,0
user_112,2024-02-26,2024-02,424.2261803053843,health_fitness,Nike,False,positive,Conservative,270.5351550809793,0.04429064118139523,0
user_103,2024-08-24,2024-08,35.929571332464036,utilities,Walmart,False,positive,Impulsive,1611.5581204506561,0.04536454046735276,0
user_103,2024-08-02,2024-08,21.707199613876515,shopping_net,Hulu,False,neutral,Frugal,1075.6136714951479,0.07730327120554012,0
user_102,2024-06-17,2024-06,379.71703626011447,grocery_pos,Spotify,False,positive,Frugal,148.66841843204918,0.09857407417206235,0
user_111,2024-07-01,2024-07,326.5565067131348,food_out,Starbucks,False,neutral,Strategic,1916.1609569351344,0.279555613249647,0
user_113,2024-02-09,2024-02,63.13228621063068,utilities,GasStation,False,neutral,Frugal,1011.6905234858721,0.13678547519233855,0
user_105,2024-03-23,2024-03,175.76231734457238,gas_transport,Hulu,False,neutral,Impulsive,510.0601369110519,0.028908954423605446,0
user_109,2024-06-06,2024-06,397.40624045717544,gas_transport,Walmart,False,neutral,Impulsive,171.19330007407243,0.27807076029304495,0
user_109,2024-04-28,2024-04,275.31109108855605,food_out,Nike,False,neutral,Impulsive,740.8465265869828,0.050676777426339956,0
user_110,2024-01-22,2024-01,342.717852071156,food_out,Nike,True,neutral,Conservative,412.39034361956425,0.23978527906449307,0
user_109,2024-03-02,2024-03,208.77499673387973,subscriptions,GasStation,False,positive,Impulsive,1312.737503657148,0.18280583799284206,0
user_102,2024-09-14,2024-09,113.30914491910173,grocery_pos,Nike,False,positive,Frugal,435.5338803063114,0.11924700818597966,0
user_108,2024-04-17,2024-04,17.129714811679776,grocery_pos,Netflix,True,positive,Frugal,1001.6938095725202,0.23448450622830724,0
user_110,2024-04-19,2024-04,403.98155253017467,entertainment,Walmart,False,positive,Frugal,388.92594820310967,0.24818268641030233,0
test_subject,2024-05-23,2024-05,397.4322656015075,subscriptions,Apple,False,neutral,Conservative,1389.785896833587,0.27233690064085525,0
user_107,2024-03-07,2024-03,164.05990332213136,health_fitness,Starbucks,True,negative,Conservative,1115.354095859329,0.1254009173142249,0
user_114,2024-08-15,2024-08,44.34931853645785,food_out,SuperStore,False,positive,Conservative,1864.0361370248554,0.012761966271935299,0
user_110,2024-07-21,2024-07,67.79691848253538,health_fitness,Amazon,False,neutral,Strategic,404.1357917184865,0.12240834438015336,0
user_101,2024-08-11,2024-08,347.57381189957044,grocery_pos,HighEndClub,False,positive,Impulsive,352.4575153957166,0.15590796176569324,0
user_104,2024-02-22,2024-02,209.2989210285955,health_fitness,SuperStore,False,neutral,Conservative,108.77499289988549,0.17413935070849437,0
user_104,2024-09-06,2024-09,179.85834675941084,entertainment,GasStation,False,positive,Conservative,468.29423500577406,0.09104733879443255,0
user_113,2024-04-24,2024-04,48.728941760131825,subscriptions,Amazon,False,neutral,Frugal,314.9213506232602,0.23511964732144508,0
test_subject,2024-09-15,2024-09,113.31961097001465,gas_transport,Netflix,False,neutral,Impulsive,1061.8974452421112,0.15583909100546298,0
user_108,2024-07-17,2024-07,324.1634684459952,gas_transport,HighEndClub,False,negative,Impulsive,1253.8632577825692,0.16283908154238724,0
user_113,2024-07-28,2024-07,288.1974669658238,health_fitness,GasStation,False,positive,Conservative,1299.3115428851704,0.29816883911496006,0
user_112,2024-02-16,2024-02,431.38412182339636,grocery_pos,Walmart,False,negative,Conservative,110.66372943288499,0.20885388925033346,0
user_114,2024-09-24,2024-09,248.36517936633405,grocery_pos,Netflix,False,neutral,Conservative,1577.4982375973411,0.2817091197165114,0
premium_user,2024-07-01,2024-07,154.00559860896252,entertainment,HighEndClub,False,neutral,Conservative,955.940872393099,0.19326345235999295,0
user_103,2024-09-20,2024-09,233.3994070040811,utilities,Netflix,False,neutral,Frugal,849.8687844396462,0.14951932325057235,0
premium_user,2024-09-22,2024-09,387.26970626502754,entertainment,Starbucks,False,neutral,Conservative,1185.5692798912085,0.29872475578063606,0
user_107,2024-04-28,2024-04,485.86491787941,health_fitness,SuperStore,False,positive,Strategic,823.7346433193017,0.14094363848499022,0
user_108,2024-01-15,2024-01,108.23190950514513,grocery_pos,Walmart,False,positive,Strategic,126.69032203983846,0.1330824343717747,0
user_101,2024-07-14,2024-07,313.47040545703686,grocery_pos,GasStation,False,neutral,Frugal,1032.8884937642474,0.10781935319303133,0
user_102,2024-02-13,2024-02,116.57806328639681,entertainment,Spotify,False,positive,Strategic,1483.1607602240983,0.17931332704573671,0
test_subject,2024-09-15,2024-09,416.5998935748575,gas_transport,Starbucks,False,positive,Conservative,907.4232073543047,0.15105336037264655,0
user_106,2024-07-14,2024-07,182.91773883774619,health_fitness,HighEndClub,False,positive,Impulsive,1928.1896006339816,0.09415918107689726,0
user_110,2024-06-30,2024-06,249.36748022584453,utilities,Starbucks,False,neutral,Impulsive,1930.9703507221905,0.1402748318768796,0
user_110,2024-07-01,2024-07,24.325924593372598,gas_transport,Amazon,False,neutral,Strategic,374.71373148831367,0.06285682619264588,0
user_111,2024-08-24,2024-08,45.15076059123553,utilities,Apple,False,positive,Strategic,1016.223485672109,0.057562767549867,0
user_104,2024-09-26,2024-09,8.523865382114735,health_fitness,Starbucks,False,positive,Strategic,865.6216118618687,0.25634414948777107,0
user_103,2024-05-10,2024-05,442.08717528641864,health_fitness,Amazon,False,positive,Impulsive,1652.5723956998568,0.17421217784322918,0
test_subject,2024-01-06,2024-01,18.886620242499326,gas_transport,Walmart,False,neutral,Conservative,110.69568902376055,0.13944623634509537,0
user_108,2024-07-23,2024-07,467.24782980443894,grocery_pos,GasStation,False,neutral,Impulsive,1933.4625338004062,0.19629377022384123,0
